PanProtein	has_length	translates_from_PanGene	member_of_PanProteinCluster
PAN4660	243	pan_4660	PANCL2720
PAN4806	398	pan_4806	PANCL13812
PAN11646	210	pan_11646	PANCL8823
PAN13174	54	pan_13174	PANCL13174
PAN6954	306	pan_6954	PANCL3174
PAN13509	268	pan_13509	PANCL13509
PAN548	291	pan_548	PANCL211
PAN2370	344	pan_2370	PANCL4133
PAN10228	166	pan_10228	PANCL10106
PAN7227	640	pan_7227	PANCL8755
PAN9341	332	pan_9341	PANCL8543
PAN8061	285	pan_8061	PANCL10011
PAN12533	301	pan_12533	PANCL8555
PAN4154	155	pan_4154	PANCL4108
PAN1456	275	pan_1456	PANCL1383
PAN11597	197	pan_11597	PANCL11597
PAN5968	346	pan_5968	PANCL5968
PAN2306	244	pan_2306	PANCL6947
PAN10543	398	pan_10543	PANCL13812
PAN3909	258	pan_3909	PANCL2948
PAN12043	159	pan_12043	PANCL10031
PAN11738	296	pan_11738	PANCL1506
PAN147	290	pan_147	PANCL1418
PAN6098	344	pan_6098	PANCL4133
PAN4000	292	pan_4000	PANCL1266
PAN4675	294	pan_4675	PANCL13186
PAN4342	523	pan_4342	PANCL657
PAN13693	216	pan_13693	PANCL10333
PAN1256	276	pan_1256	PANCL11647
PAN13398	290	pan_13398	PANCL13672
PAN3962	267	pan_3962	PANCL12643
PAN5685	219	pan_5685	PANCL165
PAN7510	207	pan_7510	PANCL12886
PAN13098	287	pan_13098	PANCL1266
PAN2562	292	pan_2562	PANCL144
PAN7111	486	pan_7111	PANCL7590
PAN5913	392	pan_5913	PANCL89
PAN10664	732	pan_10664	PANCL10664
PAN13560	279	pan_13560	PANCL12777
PAN5455	61	pan_5455	PANCL5455
PAN5026	1064	pan_5026	PANCL5026
PAN3966	542	pan_3966	PANCL5757
PAN86	382	pan_86	PANCL8002
PAN383	382	pan_383	PANCL8002
PAN3069	398	pan_3069	PANCL13812
PAN12303	1039	pan_12303	PANCL6339
PAN4065	398	pan_4065	PANCL13812
PAN2217	288	pan_2217	PANCL3089
PAN13288	297	pan_13288	PANCL7537
PAN12537	225	pan_12537	PANCL12886
PAN13715	262	pan_13715	PANCL13715
PAN6736	1026	pan_6736	PANCL6736
PAN3581	275	pan_3581	PANCL1383
PAN3377	384	pan_3377	PANCL6368
PAN10465	220	pan_10465	PANCL7857
PAN5305	296	pan_5305	PANCL5365
PAN4846	250	pan_4846	PANCL385
PAN10202	416	pan_10202	PANCL8002
PAN8950	47	pan_8950	PANCL8950
PAN7248	640	pan_7248	PANCL8755
PAN9642	208	pan_9642	PANCL11641
PAN10643	382	pan_10643	PANCL8002
PAN1822	276	pan_1822	PANCL11647
PAN3327	288	pan_3327	PANCL3089
PAN11345	270	pan_11345	PANCL11345
PAN4796	382	pan_4796	PANCL8002
PAN6661	419	pan_6661	PANCL6661
PAN9799	156	pan_9799	PANCL8755
PAN7203	1051	pan_7203	PANCL5783
PAN9796	297	pan_9796	PANCL9381
PAN491	275	pan_491	PANCL1383
PAN10879	318	pan_10879	PANCL7929
PAN2668	291	pan_2668	PANCL1830
PAN4216	288	pan_4216	PANCL3089
PAN13813	160	pan_13813	PANCL11283
PAN9561	396	pan_9561	PANCL7352
PAN9894	253	pan_9894	PANCL9894
PAN323	287	pan_323	PANCL1266
PAN4757	383	pan_4757	PANCL13812
PAN6307	493	pan_6307	PANCL11600
PAN8277	271	pan_8277	PANCL10748
PAN5404	200	pan_5404	PANCL8
PAN13199	293	pan_13199	PANCL1418
PAN7420	168	pan_7420	PANCL9618
PAN105	276	pan_105	PANCL1383
PAN2843	292	pan_2843	PANCL5365
PAN13841	164	pan_13841	PANCL10099
PAN3562	398	pan_3562	PANCL13812
PAN6254	640	pan_6254	PANCL8755
PAN15	292	pan_15	PANCL144
PAN7138	589	pan_7138	PANCL6714
PAN14062	272	pan_14062	PANCL13858
PAN4338	263	pan_4338	PANCL5280
PAN13435	89	pan_13435	PANCL13435
PAN6472	472	pan_6472	PANCL6472
PAN6512	117	pan_6512	PANCL11438
PAN5658	245	pan_5658	PANCL6947
PAN1159	291	pan_1159	PANCL180
PAN7933	164	pan_7933	PANCL7933
PAN942	542	pan_942	PANCL817
PAN12732	164	pan_12732	PANCL10513
PAN7670	385	pan_7670	PANCL8002
PAN4054	275	pan_4054	PANCL1383
PAN181	292	pan_181	PANCL5365
PAN1110	332	pan_1110	PANCL1110
PAN8633	1198	pan_8633	PANCL6702
PAN8582	1047	pan_8582	PANCL5759
PAN10005	166	pan_10005	PANCL10885
PAN1873	476	pan_1873	PANCL1873
PAN14005	165	pan_14005	PANCL7353
PAN11353	130	pan_11353	PANCL11353
PAN7568	297	pan_7568	PANCL7537
PAN10322	166	pan_10322	PANCL8235
PAN1282	277	pan_1282	PANCL7
PAN12150	300	pan_12150	PANCL9081
PAN847	282	pan_847	PANCL847
PAN3779	275	pan_3779	PANCL1383
PAN11241	105	pan_11241	PANCL11241
PAN11860	152	pan_11860	PANCL9984
PAN6336	220	pan_6336	PANCL6336
PAN3965	266	pan_3965	PANCL211
PAN13704	640	pan_13704	PANCL8755
PAN11487	303	pan_11487	PANCL5365
PAN6016	263	pan_6016	PANCL8
PAN1496	266	pan_1496	PANCL9105
PAN6614	82	pan_6614	PANCL6614
PAN5920	262	pan_5920	PANCL8
PAN6806	430	pan_6806	PANCL5103
PAN8282	384	pan_8282	PANCL6368
PAN13407	291	pan_13407	PANCL13407
PAN1553	275	pan_1553	PANCL1383
PAN12638	275	pan_12638	PANCL1383
PAN4671	398	pan_4671	PANCL13812
PAN4809	398	pan_4809	PANCL13812
PAN7265	79	pan_7265	PANCL5476
PAN5773	267	pan_5773	PANCL8432
PAN12155	163	pan_12155	PANCL13712
PAN12372	108	pan_12372	PANCL12372
PAN7062	123	pan_7062	PANCL7062
PAN12991	152	pan_12991	PANCL12991
PAN3794	254	pan_3794	PANCL2948
PAN8363	211	pan_8363	PANCL8755
PAN11048	356	pan_11048	PANCL10457
PAN10332	314	pan_10332	PANCL8210
PAN10227	416	pan_10227	PANCL10227
PAN2215	275	pan_2215	PANCL1383
PAN1473	382	pan_1473	PANCL8002
PAN2160	276	pan_2160	PANCL281
PAN7109	259	pan_7109	PANCL7109
PAN2481	292	pan_2481	PANCL5365
PAN1096	287	pan_1096	PANCL1266
PAN771	322	pan_771	PANCL11951
PAN3302	275	pan_3302	PANCL1383
PAN3035	299	pan_3035	PANCL6752
PAN1821	134	pan_1821	PANCL2178
PAN4420	378	pan_4420	PANCL8002
PAN5176	264	pan_5176	PANCL8
PAN8777	160	pan_8777	PANCL7353
PAN10689	209	pan_10689	PANCL10689
PAN5034	344	pan_5034	PANCL2132
PAN954	286	pan_954	PANCL1266
PAN13946	653	pan_13946	PANCL518
PAN1739	299	pan_1739	PANCL1739
PAN10086	287	pan_10086	PANCL1266
PAN9697	165	pan_9697	PANCL7377
PAN12330	276	pan_12330	PANCL11647
PAN1069	287	pan_1069	PANCL1266
PAN2128	389	pan_2128	PANCL1502
PAN2242	192	pan_2242	PANCL2242
PAN13718	141	pan_13718	PANCL7521
PAN12728	343	pan_12728	PANCL8720
PAN9371	222	pan_9371	PANCL9371
PAN12422	275	pan_12422	PANCL1383
PAN7142	298	pan_7142	PANCL7142
PAN11997	104	pan_11997	PANCL11997
PAN5131	266	pan_5131	PANCL8
PAN2737	398	pan_2737	PANCL13812
PAN7466	640	pan_7466	PANCL8755
PAN5603	324	pan_5603	PANCL4455
PAN221	287	pan_221	PANCL1266
PAN2519	274	pan_2519	PANCL1383
PAN9534	159	pan_9534	PANCL9534
PAN2388	294	pan_2388	PANCL2388
PAN7977	174	pan_7977	PANCL10938
PAN5038	264	pan_5038	PANCL8
PAN3014	384	pan_3014	PANCL6368
PAN6386	263	pan_6386	PANCL8
PAN9531	352	pan_9531	PANCL10457
PAN11478	382	pan_11478	PANCL8002
PAN13863	165	pan_13863	PANCL13863
PAN12221	732	pan_12221	PANCL10664
PAN5058	264	pan_5058	PANCL8
PAN3863	275	pan_3863	PANCL1383
PAN4247	398	pan_4247	PANCL13812
PAN1405	640	pan_1405	PANCL8755
PAN12788	298	pan_12788	PANCL1780
PAN3817	275	pan_3817	PANCL1383
PAN13739	356	pan_13739	PANCL10457
PAN10525	422	pan_10525	PANCL10126
PAN9621	356	pan_9621	PANCL10457
PAN9394	378	pan_9394	PANCL8002
PAN2518	274	pan_2518	PANCL1383
PAN3047	275	pan_3047	PANCL1383
PAN6048	322	pan_6048	PANCL11951
PAN3221	398	pan_3221	PANCL13812
PAN10898	340	pan_10898	PANCL10323
PAN6810	827	pan_6810	PANCL6810
PAN7922	166	pan_7922	PANCL7922
PAN9923	159	pan_9923	PANCL9923
PAN9158	481	pan_9158	PANCL7590
PAN9813	395	pan_9813	PANCL9813
PAN10421	351	pan_10421	PANCL12746
PAN2921	380	pan_2921	PANCL13812
PAN6361	218	pan_6361	PANCL6361
PAN12439	267	pan_12439	PANCL8432
PAN13242	384	pan_13242	PANCL6368
PAN1130	236	pan_1130	PANCL102
PAN11200	309	pan_11200	PANCL6752
PAN2783	174	pan_2783	PANCL2783
PAN5527	413	pan_5527	PANCL5527
PAN11342	151	pan_11342	PANCL11616
PAN12350	251	pan_12350	PANCL144
PAN4205	640	pan_4205	PANCL8755
PAN9454	287	pan_9454	PANCL1266
PAN5735	147	pan_5735	PANCL1063
PAN7340	353	pan_7340	PANCL10457
PAN2354	304	pan_2354	PANCL2354
PAN1391	284	pan_1391	PANCL1053
PAN6844	121	pan_6844	PANCL6844
PAN1679	284	pan_1679	PANCL1920
PAN13027	296	pan_13027	PANCL144
PAN5362	275	pan_5362	PANCL1383
PAN2286	160	pan_2286	PANCL2286
PAN12708	291	pan_12708	PANCL1830
PAN3102	250	pan_3102	PANCL363
PAN1555	275	pan_1555	PANCL1383
PAN10858	640	pan_10858	PANCL8755
PAN2384	542	pan_2384	PANCL817
PAN1121	291	pan_1121	PANCL5365
PAN1264	287	pan_1264	PANCL1266
PAN335	276	pan_335	PANCL1383
PAN1392	287	pan_1392	PANCL1266
PAN2751	378	pan_2751	PANCL8002
PAN10294	379	pan_10294	PANCL10392
PAN1925	217	pan_1925	PANCL2883
PAN13446	457	pan_13446	PANCL13446
PAN1128	215	pan_1128	PANCL2748
PAN9713	166	pan_9713	PANCL9713
PAN6268	146	pan_6268	PANCL276
PAN12609	258	pan_12609	PANCL1681
PAN5003	531	pan_5003	PANCL5003
PAN4919	384	pan_4919	PANCL6368
PAN8787	346	pan_8787	PANCL12746
PAN7302	253	pan_7302	PANCL7302
PAN10537	300	pan_10537	PANCL6752
PAN2082	288	pan_2082	PANCL2189
PAN2900	215	pan_2900	PANCL2748
PAN7531	147	pan_7531	PANCL8755
PAN1947	284	pan_1947	PANCL1053
PAN2456	287	pan_2456	PANCL1266
PAN3757	398	pan_3757	PANCL13812
PAN7093	185	pan_7093	PANCL8
PAN7856	64	pan_7856	PANCL11997
PAN5280	273	pan_5280	PANCL5280
PAN664	407	pan_664	PANCL2815
PAN5002	292	pan_5002	PANCL5365
PAN5540	264	pan_5540	PANCL8
PAN10229	370	pan_10229	PANCL7695
PAN5005	338	pan_5005	PANCL5005
PAN673	287	pan_673	PANCL1266
PAN7962	322	pan_7962	PANCL7929
PAN10547	275	pan_10547	PANCL1383
PAN742	275	pan_742	PANCL2998
PAN2243	153	pan_2243	PANCL12107
PAN10383	163	pan_10383	PANCL10099
PAN11712	325	pan_11712	PANCL12776
PAN2038	387	pan_2038	PANCL287
PAN7570	297	pan_7570	PANCL7537
PAN2100	191	pan_2100	PANCL2100
PAN6727	134	pan_6727	PANCL6727
PAN8091	92	pan_8091	PANCL11600
PAN8781	167	pan_8781	PANCL8781
PAN2390	175	pan_2390	PANCL3751
PAN2494	640	pan_2494	PANCL8755
PAN2116	275	pan_2116	PANCL1383
PAN7455	115	pan_7455	PANCL7455
PAN8248	296	pan_8248	PANCL6752
PAN9832	159	pan_9832	PANCL9534
PAN12709	382	pan_12709	PANCL8002
PAN3124	287	pan_3124	PANCL1266
PAN6220	384	pan_6220	PANCL6220
PAN6785	245	pan_6785	PANCL6947
PAN11014	247	pan_11014	PANCL12799
PAN1365	219	pan_1365	PANCL165
PAN4379	713	pan_4379	PANCL4379
PAN13390	169	pan_13390	PANCL7405
PAN878	287	pan_878	PANCL1266
PAN9033	170	pan_9033	PANCL9079
PAN7336	640	pan_7336	PANCL8755
PAN7309	264	pan_7309	PANCL8
PAN8902	390	pan_8902	PANCL8062
PAN5427	360	pan_5427	PANCL5427
PAN3828	258	pan_3828	PANCL2948
PAN6105	282	pan_6105	PANCL8
PAN7990	165	pan_7990	PANCL9618
PAN714	288	pan_714	PANCL3089
PAN763	277	pan_763	PANCL1383
PAN1499	275	pan_1499	PANCL1383
PAN11788	245	pan_11788	PANCL6947
PAN5310	287	pan_5310	PANCL1266
PAN12886	227	pan_12886	PANCL12886
PAN8010	295	pan_8010	PANCL5563
PAN6709	667	pan_6709	PANCL1787
PAN10416	640	pan_10416	PANCL8755
PAN9827	642	pan_9827	PANCL2911
PAN6769	203	pan_6769	PANCL1458
PAN7956	330	pan_7956	PANCL7601
PAN10541	274	pan_10541	PANCL1383
PAN12267	618	pan_12267	PANCL12267
PAN9946	303	pan_9946	PANCL7537
PAN6250	541	pan_6250	PANCL56
PAN11681	389	pan_11681	PANCL8002
PAN4655	300	pan_4655	PANCL9323
PAN8158	313	pan_8158	PANCL8158
PAN9714	294	pan_9714	PANCL12746
PAN9005	181	pan_9005	PANCL9005
PAN10343	172	pan_10343	PANCL12116
PAN9626	164	pan_9626	PANCL9618
PAN8421	277	pan_8421	PANCL1383
PAN13669	325	pan_13669	PANCL12755
PAN4985	315	pan_4985	PANCL4985
PAN11759	365	pan_11759	PANCL11759
PAN3201	275	pan_3201	PANCL1383
PAN4429	378	pan_4429	PANCL8002
PAN9547	344	pan_9547	PANCL12746
PAN8118	382	pan_8118	PANCL8002
PAN13627	186	pan_13627	PANCL8755
PAN329	211	pan_329	PANCL13412
PAN6408	405	pan_6408	PANCL13090
PAN11050	162	pan_11050	PANCL7975
PAN7323	640	pan_7323	PANCL8755
PAN4887	294	pan_4887	PANCL6752
PAN6074	640	pan_6074	PANCL8755
PAN10864	389	pan_10864	PANCL8002
PAN8860	297	pan_8860	PANCL9381
PAN6018	185	pan_6018	PANCL8
PAN7190	291	pan_7190	PANCL625
PAN11678	330	pan_11678	PANCL9315
PAN9756	159	pan_9756	PANCL2911
PAN9825	168	pan_9825	PANCL7405
PAN2982	297	pan_2982	PANCL5365
PAN1535	263	pan_1535	PANCL8
PAN3465	272	pan_3465	PANCL692
PAN6376	282	pan_6376	PANCL6376
PAN7153	214	pan_7153	PANCL1028
PAN267	512	pan_267	PANCL5224
PAN3425	272	pan_3425	PANCL692
PAN527	178	pan_527	PANCL527
PAN13803	248	pan_13803	PANCL475
PAN13923	256	pan_13923	PANCL13923
PAN6705	219	pan_6705	PANCL5160
PAN7146	138	pan_7146	PANCL651
PAN2325	296	pan_2325	PANCL5365
PAN3807	294	pan_3807	PANCL6752
PAN4579	307	pan_4579	PANCL3174
PAN6206	264	pan_6206	PANCL8
PAN2231	211	pan_2231	PANCL13412
PAN6895	669	pan_6895	PANCL1787
PAN1350	215	pan_1350	PANCL2748
PAN709	292	pan_709	PANCL5365
PAN11800	287	pan_11800	PANCL1266
PAN2031	258	pan_2031	PANCL2948
PAN9575	640	pan_9575	PANCL8755
PAN4140	244	pan_4140	PANCL6127
PAN1965	384	pan_1965	PANCL6368
PAN4647	275	pan_4647	PANCL1383
PAN6961	1049	pan_6961	PANCL6961
PAN549	247	pan_549	PANCL549
PAN2850	288	pan_2850	PANCL1751
PAN10239	164	pan_10239	PANCL12824
PAN3976	398	pan_3976	PANCL13812
PAN2343	215	pan_2343	PANCL2748
PAN8678	352	pan_8678	PANCL10457
PAN3260	398	pan_3260	PANCL13812
PAN7434	640	pan_7434	PANCL8755
PAN10865	389	pan_10865	PANCL8002
PAN169	267	pan_169	PANCL8432
PAN11045	292	pan_11045	PANCL144
PAN638	287	pan_638	PANCL1266
PAN4224	288	pan_4224	PANCL1266
PAN6526	151	pan_6526	PANCL7007
PAN3716	382	pan_3716	PANCL8002
PAN6168	298	pan_6168	PANCL6674
PAN13064	122	pan_13064	PANCL13064
PAN1239	255	pan_1239	PANCL873
PAN12675	640	pan_12675	PANCL8755
PAN7582	178	pan_7582	PANCL11841
PAN10969	355	pan_10969	PANCL10457
PAN2266	288	pan_2266	PANCL2266
PAN9134	292	pan_9134	PANCL5365
PAN10597	382	pan_10597	PANCL8002
PAN13305	396	pan_13305	PANCL7352
PAN12733	389	pan_12733	PANCL8002
PAN6829	233	pan_6829	PANCL6829
PAN2857	385	pan_2857	PANCL6368
PAN7590	487	pan_7590	PANCL7590
PAN5708	640	pan_5708	PANCL8755
PAN11428	380	pan_11428	PANCL8297
PAN12971	165	pan_12971	PANCL12824
PAN6068	287	pan_6068	PANCL1266
PAN8998	341	pan_8998	PANCL8998
PAN3080	398	pan_3080	PANCL13812
PAN3436	382	pan_3436	PANCL8002
PAN12567	173	pan_12567	PANCL8
PAN6877	379	pan_6877	PANCL13801
PAN11608	160	pan_11608	PANCL11608
PAN10049	169	pan_10049	PANCL10885
PAN7499	103	pan_7499	PANCL12266
PAN381	284	pan_381	PANCL1053
PAN12082	347	pan_12082	PANCL8755
PAN8705	325	pan_8705	PANCL12776
PAN10453	267	pan_10453	PANCL13168
PAN3967	392	pan_3967	PANCL13812
PAN12575	407	pan_12575	PANCL5882
PAN8843	351	pan_8843	PANCL12746
PAN10258	308	pan_10258	PANCL10194
PAN3531	287	pan_3531	PANCL1266
PAN6793	185	pan_6793	PANCL8
PAN11949	180	pan_11949	PANCL11949
PAN691	383	pan_691	PANCL13812
PAN9439	395	pan_9439	PANCL10617
PAN10035	173	pan_10035	PANCL7948
PAN1035	147	pan_1035	PANCL276
PAN9022	166	pan_9022	PANCL10046
PAN10396	167	pan_10396	PANCL10099
PAN4954	283	pan_4954	PANCL7142
PAN1519	279	pan_1519	PANCL1519
PAN5141	147	pan_5141	PANCL5141
PAN13005	234	pan_13005	PANCL5428
PAN6240	147	pan_6240	PANCL1063
PAN7630	296	pan_7630	PANCL7630
PAN1085	133	pan_1085	PANCL1085
PAN1780	309	pan_1780	PANCL1780
PAN403	302	pan_403	PANCL6899
PAN8389	301	pan_8389	PANCL8389
PAN5556	296	pan_5556	PANCL9315
PAN5633	257	pan_5633	PANCL2209
PAN9885	292	pan_9885	PANCL144
PAN13544	346	pan_13544	PANCL12746
PAN12906	640	pan_12906	PANCL8755
PAN9826	165	pan_9826	PANCL7449
PAN3090	294	pan_3090	PANCL6752
PAN3595	287	pan_3595	PANCL1266
PAN8532	287	pan_8532	PANCL1266
PAN3953	297	pan_3953	PANCL6752
PAN8062	399	pan_8062	PANCL8062
PAN1973	376	pan_1973	PANCL13801
PAN2845	398	pan_2845	PANCL2845
PAN9471	855	pan_9471	PANCL7495
PAN9917	284	pan_9917	PANCL9917
PAN7978	396	pan_7978	PANCL7352
PAN9100	265	pan_9100	PANCL3481
PAN3900	275	pan_3900	PANCL1383
PAN2239	306	pan_2239	PANCL3174
PAN4240	236	pan_4240	PANCL5428
PAN5789	198	pan_5789	PANCL5789
PAN68	287	pan_68	PANCL1266
PAN6318	255	pan_6318	PANCL6318
PAN2037	292	pan_2037	PANCL144
PAN7917	167	pan_7917	PANCL7917
PAN8684	162	pan_8684	PANCL10233
PAN6510	287	pan_6510	PANCL1266
PAN4722	398	pan_4722	PANCL13812
PAN6196	301	pan_6196	PANCL6196
PAN2076	266	pan_2076	PANCL211
PAN11235	123	pan_11235	PANCL11235
PAN6792	342	pan_6792	PANCL4133
PAN1277	287	pan_1277	PANCL1266
PAN8885	389	pan_8885	PANCL8002
PAN7886	220	pan_7886	PANCL7886
PAN4544	398	pan_4544	PANCL13812
PAN1549	276	pan_1549	PANCL281
PAN13566	163	pan_13566	PANCL7449
PAN6184	517	pan_6184	PANCL6649
PAN10247	351	pan_10247	PANCL10457
PAN6581	264	pan_6581	PANCL8
PAN13680	305	pan_13680	PANCL9323
PAN7717	478	pan_7717	PANCL7717
PAN9016	216	pan_9016	PANCL2883
PAN9610	389	pan_9610	PANCL8002
PAN241	277	pan_241	PANCL241
PAN10986	161	pan_10986	PANCL7443
PAN12336	299	pan_12336	PANCL6752
PAN13355	165	pan_13355	PANCL9618
PAN1715	542	pan_1715	PANCL817
PAN10874	416	pan_10874	PANCL8002
PAN2609	213	pan_2609	PANCL11081
PAN978	292	pan_978	PANCL5365
PAN5415	184	pan_5415	PANCL524
PAN10003	352	pan_10003	PANCL10003
PAN12263	416	pan_12263	PANCL8002
PAN3217	215	pan_3217	PANCL2748
PAN8254	288	pan_8254	PANCL3089
PAN8006	160	pan_8006	PANCL10099
PAN12834	353	pan_12834	PANCL10457
PAN10415	164	pan_10415	PANCL8781
PAN8149	330	pan_8149	PANCL8149
PAN12764	222	pan_12764	PANCL7857
PAN1123	292	pan_1123	PANCL144
PAN9627	325	pan_9627	PANCL12776
PAN5590	211	pan_5590	PANCL13412
PAN3745	79	pan_3745	PANCL5900
PAN8361	285	pan_8361	PANCL8361
PAN5138	263	pan_5138	PANCL8
PAN10511	382	pan_10511	PANCL8002
PAN4898	398	pan_4898	PANCL13812
PAN5244	264	pan_5244	PANCL8
PAN5952	154	pan_5952	PANCL5952
PAN3252	275	pan_3252	PANCL1383
PAN3824	384	pan_3824	PANCL6368
PAN13786	309	pan_13786	PANCL7581
PAN8411	520	pan_8411	PANCL6363
PAN13432	178	pan_13432	PANCL11841
PAN4621	288	pan_4621	PANCL3089
PAN7946	364	pan_7946	PANCL7946
PAN5526	171	pan_5526	PANCL5526
PAN1552	275	pan_1552	PANCL1383
PAN700	271	pan_700	PANCL10748
PAN5173	185	pan_5173	PANCL8
PAN305	287	pan_305	PANCL1266
PAN10212	374	pan_10212	PANCL11862
PAN11868	140	pan_11868	PANCL8479
PAN13866	376	pan_13866	PANCL10392
PAN9883	310	pan_9883	PANCL9883
PAN9305	458	pan_9305	PANCL5465
PAN3857	275	pan_3857	PANCL1383
PAN7157	183	pan_7157	PANCL5339
PAN2373	274	pan_2373	PANCL1383
PAN8420	383	pan_8420	PANCL13812
PAN4119	398	pan_4119	PANCL13812
PAN784	299	pan_784	PANCL77
PAN6002	417	pan_6002	PANCL6002
PAN8785	163	pan_8785	PANCL7449
PAN7303	291	pan_7303	PANCL1830
PAN1421	284	pan_1421	PANCL1053
PAN10382	362	pan_10382	PANCL10382
PAN1813	303	pan_1813	PANCL1813
PAN6171	102	pan_6171	PANCL6171
PAN10912	270	pan_10912	PANCL166
PAN7114	496	pan_7114	PANCL9866
PAN5440	384	pan_5440	PANCL6368
PAN4274	265	pan_4274	PANCL3481
PAN6371	512	pan_6371	PANCL5224
PAN1209	388	pan_1209	PANCL46
PAN12904	378	pan_12904	PANCL8002
PAN2549	274	pan_2549	PANCL1383
PAN5013	435	pan_5013	PANCL5013
PAN11477	388	pan_11477	PANCL6034
PAN3122	382	pan_3122	PANCL8002
PAN10503	389	pan_10503	PANCL8002
PAN1016	382	pan_1016	PANCL8002
PAN12961	396	pan_12961	PANCL7352
PAN1742	275	pan_1742	PANCL1383
PAN9300	382	pan_9300	PANCL8002
PAN3431	391	pan_3431	PANCL13812
PAN8708	213	pan_8708	PANCL12776
PAN2222	384	pan_2222	PANCL6368
PAN13449	290	pan_13449	PANCL5436
PAN1587	287	pan_1587	PANCL164
PAN9914	499	pan_9914	PANCL12291
PAN13873	182	pan_13873	PANCL9079
PAN11109	263	pan_11109	PANCL5280
PAN2951	382	pan_2951	PANCL8002
PAN9603	165	pan_9603	PANCL10513
PAN8544	351	pan_8544	PANCL10457
PAN4638	384	pan_4638	PANCL6368
PAN13367	347	pan_13367	PANCL12746
PAN5397	263	pan_5397	PANCL8
PAN7842	350	pan_7842	PANCL12840
PAN6185	830	pan_6185	PANCL6185
PAN499	292	pan_499	PANCL144
PAN3858	275	pan_3858	PANCL1383
PAN9654	165	pan_9654	PANCL7449
PAN8578	272	pan_8578	PANCL4236
PAN1610	215	pan_1610	PANCL2748
PAN9118	292	pan_9118	PANCL6752
PAN6369	302	pan_6369	PANCL3101
PAN2531	250	pan_2531	PANCL2948
PAN7024	173	pan_7024	PANCL6174
PAN5130	466	pan_5130	PANCL7125
PAN806	244	pan_806	PANCL6947
PAN11103	271	pan_11103	PANCL10748
PAN5898	183	pan_5898	PANCL13412
PAN2885	350	pan_2885	PANCL6167
PAN12380	303	pan_12380	PANCL5365
PAN13774	292	pan_13774	PANCL11645
PAN9836	164	pan_9836	PANCL12824
PAN6041	305	pan_6041	PANCL3101
PAN6577	215	pan_6577	PANCL2748
PAN3709	267	pan_3709	PANCL12643
PAN6991	228	pan_6991	PANCL6991
PAN3371	275	pan_3371	PANCL1383
PAN1729	249	pan_1729	PANCL363
PAN13337	443	pan_13337	PANCL7352
PAN2137	215	pan_2137	PANCL2748
PAN5371	275	pan_5371	PANCL1731
PAN10889	167	pan_10889	PANCL10885
PAN12678	453	pan_12678	PANCL12678
PAN13472	265	pan_13472	PANCL7529
PAN2645	398	pan_2645	PANCL13812
PAN8302	92	pan_8302	PANCL12707
PAN4341	512	pan_4341	PANCL5224
PAN8989	287	pan_8989	PANCL1266
PAN3342	292	pan_3342	PANCL5365
PAN4770	288	pan_4770	PANCL1185
PAN9741	225	pan_9741	PANCL7401
PAN4290	398	pan_4290	PANCL13812
PAN900	287	pan_900	PANCL1266
PAN2435	380	pan_2435	PANCL8002
PAN2320	292	pan_2320	PANCL144
PAN9819	345	pan_9819	PANCL12746
PAN13426	389	pan_13426	PANCL8002
PAN140	257	pan_140	PANCL140
PAN10539	398	pan_10539	PANCL13812
PAN1288	266	pan_1288	PANCL12643
PAN11231	179	pan_11231	PANCL12886
PAN1394	288	pan_1394	PANCL3089
PAN314	247	pan_314	PANCL519
PAN12326	288	pan_12326	PANCL3089
PAN8370	45	pan_8370	PANCL5328
PAN10280	171	pan_10280	PANCL9079
PAN7443	161	pan_7443	PANCL7443
PAN12611	294	pan_12611	PANCL6752
PAN10491	188	pan_10491	PANCL10491
PAN9525	126	pan_9525	PANCL12799
PAN5286	640	pan_5286	PANCL8755
PAN10836	161	pan_10836	PANCL8160
PAN11777	411	pan_11777	PANCL8621
PAN4728	287	pan_4728	PANCL1266
PAN7914	197	pan_7914	PANCL7914
PAN5036	610	pan_5036	PANCL8501
PAN8538	458	pan_8538	PANCL5465
PAN9652	322	pan_9652	PANCL7378
PAN12688	303	pan_12688	PANCL5365
PAN7606	267	pan_7606	PANCL611
PAN4756	294	pan_4756	PANCL6752
PAN11051	165	pan_11051	PANCL9618
PAN1901	146	pan_1901	PANCL6319
PAN7415	174	pan_7415	PANCL9618
PAN2820	272	pan_2820	PANCL4236
PAN362	305	pan_362	PANCL11645
PAN4741	398	pan_4741	PANCL13812
PAN7392	209	pan_7392	PANCL12746
PAN9758	389	pan_9758	PANCL8002
PAN3112	295	pan_3112	PANCL1418
PAN10023	159	pan_10023	PANCL10916
PAN8488	292	pan_8488	PANCL5365
PAN5562	640	pan_5562	PANCL8755
PAN9960	173	pan_9960	PANCL8
PAN8988	327	pan_8988	PANCL1810
PAN9997	315	pan_9997	PANCL7929
PAN10545	263	pan_10545	PANCL5280
PAN6290	640	pan_6290	PANCL8755
PAN11224	381	pan_11224	PANCL13812
PAN12209	380	pan_12209	PANCL8297
PAN8151	323	pan_8151	PANCL14040
PAN10281	315	pan_10281	PANCL7929
PAN10002	187	pan_10002	PANCL9079
PAN339	284	pan_339	PANCL1053
PAN2248	343	pan_2248	PANCL2248
PAN11362	275	pan_11362	PANCL1383
PAN7629	640	pan_7629	PANCL8755
